R#,Status,First Word,Second Word
L2,Seems OK,abbé,bay,,,,,,,,,,,,,,,,,,
L3,Seems OK,abbés,bays,,,,,,,,,,,,,,,,,,
L4,Seems OK,abbess,Bess,,,,,,,,,,,,,,,,,,
L5,Seems OK,abbeys,biz,,,,,,,,,,,,,,,,,,
L6,Seems OK,Abo,beau,,,,,,,,,,,,,,,,,,
L7,Seems OK,Abo,bow,,,,,,,,,,,,,,,,,,
L8,Seems OK,Abos,bows,,,,,,,,,,,,,,,,,,
L9,Seems OK,acid,Sid,,,,,,,,,,,,,,,,,,
L10,Seems OK,acquiescence,quiescence,,,,,,,,,,,,,,,,,,
L11,Seems OK,acquiescences,quiescences,,,,,,,,,,,,,,,,,,
L12,Seems OK,acquiescent,quiescent,,,,,,,,,,,,,,,,,,
L13,Seems OK,added,did,,,,,,,,,,,,,,,,,,
L14,Seems OK,adding,ding,,,,,,,,,,,,,,,,,,
L15,Seems OK,address,dress,,,,,,,,,,,,,,,,,,
L16,Seems OK,Adelaide,delayed,,,,,,,,,,,,,,,,,,
L17,Seems OK,affix,fix,,,,,,,,,,,,,,,,,,
L18,Seems OK,affixes,fixes,,,,,,,,,,,,,,,,,,
L19,Seems OK,affixed,fixed,,,,,,,,,,,,,,,,,,
L20,Seems OK,affluent,fluent,,,,,,,,,,,,,,,,,,
L21,Seems OK,aggro,grow,,,,,,,,,,,,,,,,,,
L22,Seems OK,agnostic,gnostic,,,,,,,,,,,,,,,,,,
L23,Seems OK,agnosticism,gnosticism,,,,,,,,,,,,,,,,,,
L24,Seems OK,agnostics,gnostics,,,,,,,,,,,,,,,,,,
L25,Seems OK,Alex,licks,,,,,,,,,,,,,,,,,,
L26,Seems OK,ally,lie,,,,,,,,,,,,,,,,,,
L27,Seems OK,allies,lies,,,,,,,,,,,,,,,,,,
L28,Seems OK,allocate,locate,,,,,,,,,,,,,,,,,,
L29,Seems OK,allocated,located,,,,,,,,,,,,,,,,,,
L30,Seems OK,allocates,locates,,,,,,,,,,,,,,,,,,
L31,Seems OK,allocating,locating,,,,,,,,,,,,,,,,,,
L32,Seems OK,allocation,location,,,,,,,,,,,,,,,,,,
L33,Seems OK,allocations,locations,,,,,,,,,,,,,,,,,,
L34,Seems OK,aloe,low,,,,,,,,,,,,,,,,,,
L35,Seems OK,aloes,lows,,,,,,,,,,,,,,,,,,
L36,Seems OK,ammunition,munition,,,,,,,,,,,,,,,,,,
L37,Seems OK,anise,knees,,,,,,,,,,,,,,,,,,
L38,Seems OK,annotate,notate,,,,,,,,,,,,,,,,,,
L39,Seems OK,annotated,notated,,,,,,,,,,,,,,,,,,
L40,Seems OK,annotates,notates,,,,,,,,,,,,,,,,,,
L41,Seems OK,annotating,notating,,,,,,,,,,,,,,,,,,
L42,Seems OK,annotation,notation,,,,,,,,,,,,,,,,,,
L43,Seems OK,annotations,notations,,,,,,,,,,,,,,,,,,
L44,Seems OK,annual,newel,,,,,,,,,,,,,,,,,,
L45,Seems OK,anode,node,,,,,,,,,,,,,,,,,,
L46,Seems OK,anodes,nodes,,,,,,,,,,,,,,,,,,
L47,Seems OK,apache,patchy,,,,,,,,,,,,,,,,,,
L48,Seems OK,apaches,patches,,,,,,,,,,,,,,,,,,
L49,Seems OK,apathetic,pathetic,,,,,,,,,,,,,,,,,,
L50,Seems OK,apathetically,pathetically,,,,,,,,,,,,,,,,,,
L51,Seems OK,appertain,pertain,,,,,,,,,,,,,,,,,,
L52,Seems OK,appertained,pertained,,,,,,,,,,,,,,,,,,
L53,Seems OK,appertaining,pertaining,,,,,,,,,,,,,,,,,,
L54,Seems OK,appertains,pertains,,,,,,,,,,,,,,,,,,
L55,Seems OK,apposition,position,,,,,,,,,,,,,,,,,,
L56,Seems OK,approbation,probation,,,,,,,,,,,,,,,,,,
L57,Seems OK,arid,rid,,,,,,,,,,,,,,,,,,
L58,Seems OK,aromatic,rheumatic,,,,,,,,,,,,,,,,,,
L59,Seems OK,arrack,rack,,,,,,,,,,,,,,,,,,
L60,Seems OK,arrow,row,,,,,,,,,,,,,,,,,,
L61,Seems OK,arrows,rows,,,,,,,,,,,,,,,,,,
L62,Seems OK,arrows,rose,,,,,,,,,,,,,,,,,,
L63,Seems OK,Ascot,Scot,,,,,,,,,,,,,,,,,,
L64,Seems OK,attic,tick,,,,,,,,,,,,,,,,,,
L65,Seems OK,Attic,tick,,,,,,,,,,,,,,,,,,
L66,Seems OK,attics,ticks,,,,,,,,,,,,,,,,,,
L67,Seems OK,attract,tracked,,,,,,,,,,,,,,,,,,
L68,Seems OK,attract,tract,,,,,,,,,,,,,,,,,,
L69,Seems OK,attracts,tracts,,,,,,,,,,,,,,,,,,
L70,Seems OK,attraction,traction,,,,,,,,,,,,,,,,,,
L71,Seems OK,attribute,tribute,,,,,,,,,,,,,,,,,,
L72,Seems OK,attributes,tributes,,,,,,,,,,,,,,,,,,
L73,Seems OK,avocation,vocation,,,,,,,,,,,,,,,,,,
L74,Seems OK,avocations,vocations,,,,,,,,,,,,,,,,,,
L75,Seems OK,ballets,blaze,,,,,,,,,,,,,,,,,,
L76,Seems OK,baluster,bluster,,,,,,,,,,,,,,,,,,
L77,Seems OK,balusters,blusters,,,,,,,,,,,,,,,,,,
L78,Seems OK,callipers,clippers,,,,,,,,,,,,,,,,,,
L79,Seems OK,Diana,Dinah,,,,,,,,,,,,,,,,,,
L80,Seems OK,gallows,glows,,,,,,,,,,,,,,,,,,
L81,Seems OK,invalid,invalid,,,,,,,,,,,,,,,,,,
L82,Seems OK,phallic,flick,,,,,,,,,,,,,,,,,,
L83,Seems OK,piazza,pizza,,,,,,,,,,,,,,,,,,
L84,Seems OK,piazzas,pizzas,,,,,,,,,,,,,,,,,,
L85,Seems OK,sallow,slow,,,,,,,,,,,,,,,,,,
L86,Seems OK,sallower,slower,,,,,,,,,,,,,,,,,,
L87,Seems OK,saphead,sped,,,,,,,,,,,,,,,,,,
L88,Seems OK,sappier,spear,,,,,,,,,,,,,,,,,,
L89,Seems OK,satrap,strap,,,,,,,,,,,,,,,,,,
L90,Seems OK,satraps,straps,,,,,,,,,,,,,,,,,,
L91,Seems OK,Saturn,stern,,,,,,,,,,,,,,,,,,
L92,Seems OK,satyr,stir,,,,,,,,,,,,,,,,,,
L93,Seems OK,satyrs,stirs,,,,,,,,,,,,,,,,,,
L94,Seems OK,triad,tried,,,,,,,,,,,,,,,,,,